Well	Well96	PCR_Replicate	Plate	SampleName	SampleNameFull	Omit	Sample	Target	Task	Dyes	Cq	Cq.Conf	Amp.Score	Amp.Status	Annotated	Baseline.Start	Baseline.End	Curve.Quality	Result.Quality.Issues
A1	A1	Rep1	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep1	false	Sample	16S	Unknown	SYBR	11.845752161845592	0.9118494505077901	3.51038700923118	Amp	false	3	6	NA	NA
A10	A5	Rep2	Plate 4	D01_ZH_R1_100,000	D01_ZH_R1_100,000_Rep2	false	Sample	16S	Unknown	SYBR	22.7263615643691	0.8909411755531667	3.50397679624412	Amp	false	3	14	NA	NA
A11	A6	Rep1	Plate 4	D01_ZH_R1_1,000,000	D01_ZH_R1_1,000,000_Rep1	false	Sample	16S	Unknown	SYBR	24.81012997506229	0.9062141816617019	3.49932270489779	Amp	false	3	13	NA	NA
A12	A6	Rep2	Plate 4	D01_ZH_R1_1,000,000	D01_ZH_R1_1,000,000_Rep2	false	Sample	16S	Unknown	SYBR	25.19789664652437	0.8912169294154839	3.48905537739072	Amp	false	3	13	NA	NA
A13	A7	Rep1	Plate 4	water	water_Rep1	false	Sample	16S	Unknown	SYBR	26.19921393623425	0.9076888637281223	3.49014668263314	Amp	false	3	14	NA	NA
A14	A7	Rep2	Plate 4	water	water_Rep2	false	Sample	16S	Unknown	SYBR	26.453171373590294	0.9178391523783804	3.48558396724832	Amp	false	3	15	NA	NA
A2	A1	Rep2	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep2	false	Sample	16S	Unknown	SYBR	12.59105929953822	0.9881788579688618	3.40727313514533	Amp	false	3	6	NA	NA
A3	A2	Rep1	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep1	false	Sample	16S	Unknown	SYBR	16.69748807296279	0.9850774223112343	3.41967671454498	Amp	false	3	9	NA	NA
A4	A2	Rep2	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep2	false	Sample	16S	Unknown	SYBR	16.213276027162458	0.9481222033292	3.43380435686189	Amp	false	3	8	NA	NA
A5	A3	Rep1	Plate 4	D01_ZH_R1_1,000	D01_ZH_R1_1,000_Rep1	false	Sample	16S	Unknown	SYBR	19.25414818525141	0.9848307880837881	NA	Amp	false	3	10	NA	NA
A6	A3	Rep2	Plate 4	D01_ZH_R1_1,000	D01_ZH_R1_1,000_Rep2	false	Sample	16S	Unknown	SYBR	18.50505583690419	0.9904329642753105	NA	Amp	false	3	10	NA	NA
A7	A4	Rep1	Plate 4	D01_ZH_R1_10,000	D01_ZH_R1_10,000_Rep1	false	Sample	16S	Unknown	SYBR	20.958925995131267	0.9261611274206775	NA	Amp	false	3	12	NA	NA
A8	A4	Rep2	Plate 4	D01_ZH_R1_10,000	D01_ZH_R1_10,000_Rep2	false	Sample	16S	Unknown	SYBR	21.351924132718487	0.9877100853403102	3.39018121588429	Amp	false	3	12	NA	NA
A9	A5	Rep1	Plate 4	D01_ZH_R1_100,000	D01_ZH_R1_100,000_Rep1	false	Sample	16S	Unknown	SYBR	23.870135738568486	0.9883318117035587	3.39950285172014	Amp	false	3	12	NA	NA
B1	A1	Rep3	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep3	false	Sample	16S	Unknown	SYBR	12.1549729749783	0.9155745744958084	3.47987547770883	Amp	false	3	6	NA	NA
B10	A5	Rep4	Plate 4	D01_ZH_R1_100,000	D01_ZH_R1_100,000_Rep4	true	Sample	16S	Unknown	SYBR	Undetermined	Undetermined	NA	N/A	false	0	0	NA	NA
B11	A6	Rep3	Plate 4	D01_ZH_R1_1,000,000	D01_ZH_R1_1,000,000_Rep3	false	Sample	16S	Unknown	SYBR	25.009470806690658	0.90063015808994	3.49127205973289	Amp	false	3	14	NA	NA
B12	A6	Rep4	Plate 4	D01_ZH_R1_1,000,000	D01_ZH_R1_1,000,000_Rep4	true	Sample	16S	Unknown	SYBR	Undetermined	Undetermined	NA	N/A	false	0	0	NA	NA
B13	A7	Rep3	Plate 4	water	water_Rep3	false	Sample	16S	Unknown	SYBR	26.354178686298134	0.9298605635051573	3.5052827389578	Amp	false	3	13	NA	NA
B14	A7	Rep4	Plate 4	water	water_Rep4	true	Sample	16S	Unknown	SYBR	Undetermined	Undetermined	NA	N/A	false	0	0	NA	NA
B2	A1	Rep4	Plate 4	D01_ZH_R1_10	D01_ZH_R1_10_Rep4	true	Sample	16S	Unknown	SYBR	Undetermined	Undetermined	NA	N/A	false	0	0	NA	NA
B3	A2	Rep3	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep3	false	Sample	16S	Unknown	SYBR	15.377586689625442	0.9225447857010965	3.43764665865439	Amp	false	3	7	NA	NA
B4	A2	Rep4	Plate 4	D01_ZH_R1_100	D01_ZH_R1_100_Rep4	true	Sample	16S	Unknown	SYBR	Undetermined	Undetermined	NA	N/A	false	0	0	NA	NA
